date,open,high,low,close,CI,trend,in_progress
2021-10-28 17:00:00,1803.03,1805.49,1792.2,1801.27,,0.0,0.0
2021-10-28 21:00:00,1801.27,1802.18,1797.61,1798.73,,0.0,0.0
2021-10-29 01:00:00,1799.56,1801.14,1796.7,1796.75,,0.0,0.0
2021-10-29 05:00:00,1796.65,1797.61,1793.27,1796.42,,0.0,0.0
2021-10-29 09:00:00,1796.41,1799.09,1790.89,1798.16,,0.0,0.0
2021-10-29 13:00:00,1798.18,1798.35,1771.98,1774.02,,0.0,0.0
2021-10-29 17:00:00,1773.71,1783.38,1771.86,1781.53,,0.0,0.0
2021-10-29 21:00:00,1781.56,1783.63,1781.23,1783.21,,0.0,0.0
2021-11-01 00:00:00,1783.19,1784.76,1779.07,1784.5,,0.0,0.0
2021-11-01 04:00:00,1784.5,1787.28,1783.4,1786.74,,0.0,0.0
2021-11-01 08:00:00,1786.78,1787.74,1780.94,1785.88,,0.0,0.0
2021-11-01 12:00:00,1785.88,1792.03,1782.52,1791.98,,0.0,0.0
2021-11-01 16:00:00,1792.05,1795.75,1789.72,1793.51,,0.0,0.0
2021-11-01 20:00:00,1793.52,1794.76,1791.05,1793.11,,0.0,0.0
2021-11-02 00:00:00,1792.99,1793.08,1789.4,1790.13,,0.0,0.0
2021-11-02 04:00:00,1790.09,1794.82,1789.17,1793.68,,0.0,0.0
2021-11-02 08:00:00,1793.66,1796.31,1790.77,1795.01,,0.0,0.0
2021-11-02 12:00:00,1795.07,1795.47,1788.17,1790.78,,0.0,0.0
2021-11-02 16:00:00,1790.7,1793.14,1786.37,1787.37,,0.0,0.0
2021-11-02 20:00:00,1787.37,1788.3,1786.29,1787.86,,0.0,0.0
2021-11-03 00:00:00,1787.74,1788.14,1782.47,1783.29,,0.0,0.0
2021-11-03 04:00:00,1783.21,1783.77,1779.21,1782.08,,0.0,0.0
2021-11-03 08:00:00,1782.07,1783.84,1778.15,1782.47,,0.0,0.0
2021-11-03 12:00:00,1782.7,1785.57,1765.54,1766.83,,0.0,0.0
2021-11-03 16:00:00,1763.91,1766.26,1757.95,1764.57,,0.0,0.0
2021-11-03 20:00:00,1764.57,1775.01,1761.13,1769.45,,0.0,0.0
2021-11-04 00:00:00,1770.44,1778.12,1770.38,1775.46,,0.0,0.0
2021-11-04 04:00:00,1775.45,1778.15,1774.05,1774.65,34.04293283466494,0.0,0.0
2021-11-04 08:00:00,1774.63,1777.7,1770.78,1777.27,34.172007665966056,0.0,0.0
2021-11-04 12:00:00,1777.28,1795.8,1775.72,1795.74,34.679716890124645,0.0,0.0
2021-11-04 16:00:00,1795.9,1798.86,1790.82,1793.41,32.78100602895057,0.0,0.0
